ID,Earnings
1,9684.89622451367
2,9897.58571443039
3,9693.3633425899
4,9676.13769570514
5,9897.71553214659
6,9740.1093530188
7,9510.15470336266
8,9754.71100178943
9,9682.64164254053
10,9714.44661273744
11,9697.42949939048
12,9760.69687766679
13,9754.47134512579
14,9759.90764752319
15,9611.2664242226
16,9580.80004130096
17,9750.29746441561
18,9832.47195863247
19,9864.52054054152
20,9712.07086389628
21,9883.44563278166
22,9718.11968625188
23,9660.79242431346
24,9714.25219568396
25,9940.37918876998
26,9818.81200350906
27,9880.57398569926
28,9714.79643378015
29,9734.79121189481
30,9714.15400649184
31,9618.98350229598
32,9878.09495092534
33,9631.4142266707
34,9802.134112664
35,9768.10847193127
36,9783.2297437419
37,9887.36902268659
38,9550.97970120908
39,9693.48479394554
40,9713.9806416036
41,9745.10618651039
42,9660.95770876823
43,9646.81764263157
44,9776.36021273468
45,9682.61597831135
46,9708.045809742
47,9648.53270161985
48,9833.23652993924
49,9762.31638485752
50,9749.92195032106
51,9748.38716065166
52,9769.68753187257
53,9737.32308208877
54,9734.99608524706
55,9773.55784449933
56,9747.13598635027
57,9712.23251565084
58,9493.49232702658
59,9799.51534088709
60,9697.58482521342
61,9610.00496494175
62,9644.70226805245
63,9602.48452585569
64,9738.43881512367
65,9813.82843585794
66,9585.97136759102
67,9782.75921715265
68,10031.7653997835
69,9766.93333020558
70,9775.1243519353
71,9876.65544919798
72,10187.2510870301
73,9686.39990495944
74,9632.53521405464
75,9628.98656387895
76,9631.43121231163
77,10244.6293414279
78,9561.63668107589
79,9731.24822018726
80,9691.0050860208
81,9565.28040930774
82,9702.03340544575
83,9715.93080786192
84,9634.79418157634
85,9758.19458547609
86,9725.52233037963
87,9706.03565911216
88,9739.94654830742
89,9810.9687194683
90,9632.22707756428
91,9657.45633749246
92,9604.76613685913
93,9775.80072996273
94,9704.45232958864
95,9638.13724421751
96,9753.93833743717
97,9742.81892424019
98,9748.79069031535
99,9738.48927942063
100,9674.73492984719
101,9695.93998802149
102,9498.05151217361
103,9647.31540859337
104,9753.601397623
105,9663.48043532634
106,9878.28696852817
107,9797.42977745464
108,9725.14577358131
109,9593.96481946766
110,9690.75754479599
111,10063.8366212365
112,9781.8344368159
113,9764.95550348417
114,9732.47464271246
115,9718.11595894789
116,9626.64407547956
117,9698.53420710738
118,9680.17175324817
119,9715.77781685223
120,9726.3402137202
121,9695.77982015995
122,11004.8781151085
123,9680.55121708027
124,9789.69818694328
125,9773.74807695759
126,9698.39534226737
127,9716.11168198831
128,9693.27115214422
129,9621.909732398
130,9595.75760975606
131,9681.76889332312
132,9658.21083457907
133,9616.70292552206
134,9586.75492288433
135,9814.18217051486
136,10027.1735746022
137,9760.9752064822
138,9719.51579757859
139,9612.77121137211
140,9721.01090421573
141,9757.84154943142
142,9857.62993879395
143,9659.53179328839
144,9650.61736161282
145,9840.04999595149
146,9636.61572945031
147,9886.57734109643
148,9736.31600687502
149,9585.40596241669
150,9646.22830506934
151,9723.0688553426
152,9720.3983917841
153,9655.90655712575
154,9722.00076291894
155,9756.24496737667
156,9798.24222240116
157,9729.78874596495
158,9903.26902671481
159,9733.84764656516
160,9775.82592234665
161,9752.49206109026
162,9687.98555505212
163,9689.7182753804
164,9760.03496299583
165,9710.98646559922
166,9717.70759970109
167,9731.69385028247
168,9634.95074325549
169,9704.41203426725
170,9728.57690185176
171,9741.88260579629
172,9772.87620147513
173,9747.97690975913
174,9723.24886795001
175,9808.68315130126
176,9902.69438824343
177,9759.27555196023
178,9709.40173050099
179,9668.04207416311
180,9646.06982511433
181,9823.47745314961
182,9720.77442668263
183,9862.8220676561
184,9789.58395912567
185,9723.14260306463
186,9772.2648005077
187,9735.73536482441
188,9797.69136752077
189,9732.32660912156
190,9760.09309942662
191,9735.48103376395
192,9662.50130993195
193,9589.44015183857
194,9940.05501750093
195,9528.47661724899
196,9688.88048323085
197,9762.76034561288
198,9766.53636425087
199,9792.27432083394
200,9747.23219134122
201,9685.48801500458
202,9684.75634109644
203,9732.49014420591
204,9755.27608387001
205,9699.79216010519
206,9769.36068209614
207,9739.22326862319
208,9692.27346850152
209,9670.9418484431
210,9604.7703827737
211,9774.28081859936
212,9787.38374630429
213,9817.39936859518
214,9765.4175354517
215,9752.62639315002
216,9772.67591855429
217,9706.59061985883
218,9749.90558040745
219,9717.4235783573
220,9663.73801439602
221,9887.49491024038
222,9740.86176138641
223,9654.4490066778
224,9728.59807802537
225,9788.27912963776
226,9716.89639442393
227,9666.21352464097
228,9667.78897317911
229,9847.51775565831
230,9802.74537554118
231,9749.64828040676
232,9648.18257070641
233,9721.23240936794
234,9748.8497422349
235,9852.70942329118
236,9799.00984149208
237,9767.16701432397
238,9722.90483582911
239,9678.58032300574
240,9673.11306795283
241,9625.50442538674
242,9700.82112156288
243,9984.56338241805
244,9768.12608560979
245,9733.35008518504
246,9745.77742511263
247,9816.42087029277
248,9769.62210175556
249,9644.87737081889
250,9628.44022531565
251,9498.24841108279
252,9945.04243331493
253,9938.77310360075
254,9777.78911331052
255,9804.28882675832
256,9833.94064477416
257,9709.64377691245
258,9787.72668198253
259,9577.06030051404
260,9556.9025583805
